	model_fit
AL.APLV5	0.6653500141039215
AL.APLV6	0.7972990404494611
AL.APLV7	0.4452801851862561
AL.APLV8	0.6250666873500975
AL.APLV9	0.5658279247340854
AL.AR01	0.6125725043407543
AL.AR02	0.46818776830616615
AL.AR03	0.7584624975940079
AL.AR04	0.5151683606999263
AL.AR05	0.7325890451563289
AL.AR06	0.8037661858699308
AL.AR07	0.6516955687662286
AL.AR08	0.7132975812015044
AL.AR09	0.5342015819671848
AL.AR10	0.620155723414237
AL.AR11	0.48833330106230566
AL.AR12	0.7341569301489007
AL.AR13	0.5610564786280791
AL.AR14	0.4470294046048439
AL.AR15	0.6887676943847393
AL.AR16	0.7165889028314142
AL.AR17	0.647864204402978
AL.AR18	0.7241838878399995
AL.AR19	0.4607475774590849
AL.AR20	0.6188976285579815
AL.AR21	0.5843975458171541
AL.AR22	0.4741335087650877
AL.AR23	0.8161308086990102
AL.AR24	0.8244115581734519
AL.AR25	0.5334443337575521
AL.AR26	0.7954687692714315
AL.AR27	0.4666910888542366
AL.AR28	0.7071898659166603
AL.AR29	0.4237116770829853
AL.AR30	0.6407984802776794
AL.C1	0.8426265150999533
AL.C10	0.5648621817755035
AL.C11	0.5754644144532328
AL.C12	0.5589985072291754
AL.C13	0.6036205725190295
AL.C14	0.389609906331681
AL.C15	0.537604911778919
AL.C16	0.8371181053803759
AL.C17	0.6105607593176969
AL.C18	0.7288220603717116
AL.C19	0.9853266035703172
AL.C2	0.9978603454438603
AL.C20	0.607770646901437
AL.C21	0.6769089162390073
AL.C22	0.6395529177529459
AL.C23	0.6803381346496086
AL.C24	0.808916883824662
AL.C25	0.5792551883355027
AL.C26	0.8430287439448694
AL.C29	0.9467907371606961
